 word=သႅင်, f=709
 word=လင်, f=707
 word=ၶႅပ်း, f=706
 word=ၵဵဝ်ႇ, f=704
 word=ၶုၼ်ႁေႃၶမ်း, f=703
 word=မီႇ, f=703
 word=ၼွၵ်ႈ, f=700
 word=ပူႇ, f=699
 word=ဝႃႉ, f=696
 word=ယင်း, f=694
 word=ႁႃႈ, f=694
 word=တုမ်, f=690
 word=ပေႃႈ, f=688
 word=ၵေႃႉၼိုင်ႈ, f=686
 word=ထူဝ်း, f=685
 word=ႁေႃ, f=684
 word=မၢဝ်း, f=683
 word=ပၢၵ်ႇ, f=678
 word=လၢၼ်ႉ, f=677
 word=တၢင်းပဵၼ်, f=676
 word=ၸပ်း, f=676
 word=ဢမ်ႇၵႃး, f=673
 word=ၵေႃး, f=673
 word=ၸွမ်းၼင်ႇ, f=672
 word=ႁူင်း, f=666
 word=သႅၼ်, f=665
 word=လူ, f=665
 word=လူႇတၢၼ်း, f=664
 word=ပႂ်ႉ, f=663
 word=ပူး, f=662
 word=ႁိၼ်, f=661
 word=ပေ, f=660
 word=ၵႆႉ, f=654
 word=ဝိ, f=654
 word=တႃ, f=652
 word=တိ, f=652
 word=ၸုၼ်ႇ, f=651
 word=ၸဵင်, f=647
 word=လူႇ, f=646
 word=ၵီ, f=643
 word=ၶျွင်း, f=642
 word=ၵူဝ်ႇ, f=642
 word=ၵုၼ်, f=641
 word=တင်းသဵင်ႈ, f=640
 word=တၢၼ်း, f=638
 word=ၵႃႇ, f=632
 word=တူင်ႇ, f=631
 word=ဢေး, f=631
 word=မိုဝ်း, f=630
 word=ထၢတ်ႈ, f=628
 word=ၽွၼ်းလီ, f=626
 word=ၽုၵ်ႇ, f=623
 word=မႅၼ်ႈ, f=622
 word=ၼင်ႇႁိုဝ်, f=621
 word=ၵိူဝ်, f=620
 word=လုမ်ႈၾႃႉ, f=619
 word=ၵမ်ႇၽႃႇ, f=617
 word=လုၵ်ႈၸၢႆး, f=614
 word=လိုဝ်းလင်, f=613
 word=ၼင်ႇၵဝ်ႇ, f=613
 word=ထၢၼ်, f=611
 word=ၶ, f=611
 word=ပႃႈ, f=609
 word=ၸၢၵ်ႈ, f=607
 word=ယၢင်ႇ, f=605
 word=ၵူး, f=604
 word=လဵပ်ႈ, f=602
 word=ပီႈၼွင်ႉ, f=599
 word=ၵႃႉၶၢႆ, f=599
 word=ဢေႇရိယႃႇ, f=598
 word=ပၢၼ်ႇ, f=598
 word=မၵ်းမၼ်ႈ, f=596
 word=မုၼ်ၶမ်းၽြႃး, f=590
 word=ထုၵ်ႇလီ, f=587
 word=ၼႆၵေႃႈ, f=582
 word=ၼေ, f=582
 word=လူတ်ႉ, f=580
 word=ၸၢင်ႉ, f=579
 word=လႆ, f=577
 word=မုၼ်း, f=576
 word=ပီႇ, f=576
 word=ၸၢဝ်း, f=572
 word=ၵမ်ႈၽွင်ႈ, f=569
 word=တေႃႉ, f=569
 word=ၵွင်း, f=567
 word=မၢင်, f=567
 word=သေၵေႃႈ, f=566
 word=ၵုမ်, f=566
 word=ထီး, f=565
 word=ယႅတ်ႉ, f=560
 word=ပူၼ်ႉ, f=560
 word=မႄႈၼမ်ႉ, f=558
 word=ၽ, f=558
 word=ၼင်ႇၼႆ, f=552
 word=လႅတ်ႉ, f=552
 word=ႁင်း, f=551
 word=ၵုတ်ႈ, f=550
 word=ၶမ်ႈ, f=550
 word=မႆႉ, f=550
 word=လွၵ်း, f=549
 word=လဵၵ်ႉ, f=547
 word=ပဵင်း, f=546
 word=ၸမ်, f=544
 word=ၼႆၸိုင်, f=541
 word=မွၵ်ႇမႆႇ, f=540
 word=ႁိူဝ်း, f=540
 word=သင်ဝႃႈ, f=538
 word=မၢၼ်ႊ, f=538
 word=ထ, f=538
 word=မိူဝ်ႈၼၼ်ႉ, f=537
 word=ၼိူင်ႈ, f=536
 word=မူၼ်း, f=536
 word=ၽွင်းမိူဝ်ႈ, f=535
 word=ၵႅင်း, f=534
 word=ၶိူဝ်းၵူၼ်း, f=532
 word=ႁဵတ်းသၢင်ႈ, f=532
 word=ၶၢႆႉ, f=530
 word=လႃႉ, f=529
 word=ၼေႃး, f=527
 word=သဵင်ႈၵၢမ်ႇ, f=525
 word=ၵုၼ်ႇ, f=525
 word=မုၼ်, f=521
 word=မႃႉ, f=521
 word=တု, f=521
 word=ၼွၼ်း, f=520
 word=ၶိူင်ႈ, f=516
 word=ဢႃႇယု, f=516
 word=ၺႃး, f=516
 word=ဝႃး, f=515
 word=သႃ, f=515
 word=ဝႅတ်ႉ, f=513
 word=မူႇ, f=511
 word=ဢုပ်ႉပိူင်ႇ, f=510
 word=တႃႉ, f=508
 word=ၶေႃႈၵႂၢမ်း, f=507
 word=ႁူဝ်ပၢၵ်ႇ, f=507
 word=ၶၢဝ်းတၢင်း, f=506
 word=သွမ်ႈ, f=506
 word=ၵၢတ်ႇ, f=504
 word=ပုၼ်ႈတႃႇ, f=503
 word=ပီၼႆႉ, f=503
 word=ႁေႃၶမ်း, f=499
 word=ဝၢင်း, f=497
 word=ၸဝ်ႈႁဝ်း, f=495
 word=ႁၵ်ႉ, f=495
 word=ၶၢႆ, f=495
 word=တႄႇတင်ႈ, f=490
 word=ရီး, f=489
 word=လီႇ, f=488
 word=ၽီး, f=486
 word=ပၺ်ႇၺႃႇ, f=485
 word=ပၢၼ်း, f=484
 word=လႃး, f=483
 word=တမ်း, f=478
 word=တူႇ, f=478
 word=ယၢၼ်ႇ, f=477
 word=ယဵမ်ႈ, f=477
 word=ၼေႃႇ, f=477
 word=ပႃ, f=476
 word=မူဝ်ႇ, f=474
 word=ပွင်ႈ, f=474
 word=ၸွႆႈထႅမ်, f=472
 word=ၺၢၼ်ႇ, f=472
 word=ဢၢႆ, f=471
 word=ၵႂၢင်ႈ, f=470
 word=ၶတ်းၸႂ်, f=469
 word=ထမ်ႇမ, f=469
 word=ၸွႆႈ, f=469
 word=လူႉ, f=468
 word=မႆႈ, f=468
 word=ဢိူဝ်ႈ, f=467
 word=ပၢင်း, f=467
 word=ငဝ်ႈၸိုင်ႈ, f=466
 word=ၼင်ႈ, f=466
 word=ၵျႃႇ, f=466
 word=လႅၵ်ႈလၢႆႈ, f=465
 word=လိူဝ်သေၼၼ်ႉ, f=464
 word=လူမ်း, f=463
 word=လိူၵ်ႈ, f=462
 word=ၶႂၢင်, f=462
 word=ပၢင်ႇလၢႆႇ, f=461
 word=တူ, f=460
 word=ရၶႅင်ႇ, f=457
 word=ပိုတ်ႇ, f=456
 word=ၶၢင်, f=456
 word=ဢၢႆႇ, f=455
 word=ၸီး, f=455
 word=ၵမ်ႇ, f=451
 word=သူၼ်, f=450
 word=ဝၢၼ်ႈမိူင်း, f=449
 word=ၵပ်းၵၢႆႇ, f=449
 word=ယုမ်ႇယမ်, f=448
 word=လဵၼ်ႈ, f=446
 word=ၽွတ်ႈ, f=445
 word=ပႄႉ, f=445
 word=ၼၢမ်း, f=444
 word=မေး, f=443
 word=ၵၢင်ၸႂ်, f=442
 word=ၵုမ်း, f=442
 word=တႃႈႁိူဝ်း, f=440
 word=လိၼ်း, f=440
 word=သူႇ, f=439
 word=ၸၢဝ်းၶိူဝ်း, f=438
 word=ဢိၵ်ႇ, f=438
 word=ၵွၼ်း, f=437
 word=ယွၼ်း, f=436
 word=ပႅၼ်, f=434
 word=ၽႄႈ, f=434
 word=ၵွပ်ႈပိူဝ်ႈ, f=433
 word=လွတ်ႈ, f=433
 word=ၶရိတ်ႉ, f=431
 word=လမ်း, f=430
 word=ၶႃ, f=429
 word=ယူႇလီ, f=428
 word=ငဝ်ႈ, f=428
 word=ႁူင်းယႃ, f=423
 word=ၽၵ်း, f=423
 word=လွတ်ႈလႅဝ်း, f=422
 word=ၸွမ်ပွင်ၸိုင်ႈ, f=419
 word=သိူဝ်း, f=417
 word=ၵွင်ႉ, f=417
 word=ၽွမ်ႉ, f=414
 word=တိၼ်, f=414
 word=သီး, f=414
 word=လႃႈ, f=410
 word=တိၼ်ႇ, f=409
 word=ဢၼ်ၼၼ်ႉ, f=408
 word=ႁေႃး, f=406
 word=ၽႄ, f=406
 word=သိမ်း, f=405
 word=တၢင်းၵႂၢင်ႈ, f=402
 word=တွၼ်း, f=402
 word=လႅင်, f=402
 word=ပုၼ်ႈၽွၼ်း, f=401
 word=ၶၢဝ်ႇ, f=401
 word=ၵျေႃႇ, f=401
 word=ပေႃႇ, f=401
 word=ၵႃႉ, f=398
 word=မွတ်ႇ, f=397
 word=ပိူင်လူင်, f=396
 word=သဵင်ႈ, f=396
 word=ၵႄႈ, f=396
 word=ရသ, f=396
 word=ထူပ်း, f=395
 word=ၸေႇ, f=395
 word=ၵႅမ်, f=394
 word=ပၢႆႈ, f=393
 word=သြႃႇလူင်, f=392
 word=ၽိတ်း, f=392
 word=ၽႃ, f=392
 word=ယဝ်ႉၵေႃႈ, f=391
 word=ယၢၼ်, f=391
 word=ႁၢႆ, f=391
 word=လၢၼ်ႇ, f=389
 word=ယႅၼ်း, f=389
 word=သမ်ႇ, f=389
 word=ၾႆး, f=389
 word=ထိူၼ်ႇ, f=388
 word=သတ်ႉ, f=387
 word=တေႃႈ, f=386
 word=မိူဝ်ႈၵွၼ်ႇ, f=385
 word=ပူင်ႇ, f=384
 word=ၶဵၼ်, f=384
 word=လုၵ်ႈႁဵၼ်း, f=382
 word=တပႄး, f=382
 word=ထႃႇ, f=380
 word=ၶွမ်ႇ, f=379
 word=ယွမ်း, f=379
 word=မူ, f=379
 word=ဢၢၼ်ႇ, f=377
 word=ၼပ်ႉယမ်, f=376
 word=ငိၼ်း, f=376
 word=ထွမ်ႇ, f=375
 word=လွင်း, f=374
 word=ယိၼ်း, f=373
 word=ႁူၵ်း, f=372
 word=တီ, f=372
 word=ဝႃႇထၢပ်ႈ, f=371
